,NASDAQ_Log_Change
2022-11-21,0.0008830070797709081
2022-11-22,0.0006038224449013413
2022-11-23,0.0010799300912684667
2022-11-25,0.0005755555532567974
2022-11-28,0.0007752164700068708
2022-11-29,0.0009539278538170907
2022-11-30,0.001566742299925717
2022-12-01,0.0011781842984152793
2022-12-02,0.0009278869293854271
2022-12-05,0.0009561268977505964
2022-12-06,0.0010462331012574108
2022-12-07,0.0012455428155767675
2022-12-08,0.0010239733976733028
2022-12-09,0.0008705203124592169
2022-12-12,0.0008090234752484721
2022-12-13,0.0019213840366560713
2022-12-14,0.002231764135429181
2022-12-15,0.0011950854791932515
2022-12-16,0.001211643521416024
2022-12-19,0.0010190048367051886
2022-12-20,0.0011463455829169031
2022-12-21,0.000892596575589542
2022-12-22,0.0011892744898682798
2022-12-23,0.0011988530799981456
2022-12-27,0.0009363828951271245
2022-12-28,0.0010077740706833267
2022-12-29,0.000838565810958575
2022-12-30,0.0011232729496392564
2023-01-03,0.0014355996747311506
2023-01-04,0.0015908752581001136
2023-01-05,0.0012322211923941713
2023-01-06,0.001615391314672053
2023-01-09,0.001062951256677569
2023-01-10,0.0009888316531801971
2023-01-11,0.0007619720940549504
2023-01-12,0.0017965087983140067
2023-01-13,0.0008049300578506027
2023-01-17,0.0009168517990517678
2023-01-18,0.0008914699804808122
2023-01-19,0.0011869857148566238
2023-01-20,0.0007124812708932107
2023-01-23,0.0010481844265550762
2023-01-24,0.0011872670051840408
2023-01-25,0.0010136228141136641
2023-01-26,0.00123476302389982
2023-01-27,0.0009523010766527258
2023-01-30,0.0008701396184254902
2023-01-31,0.0008677852155835165
2023-02-01,0.0019857862262413948
2023-02-02,0.0011744344616545527
2023-02-03,0.0012418724679689411
2023-02-06,0.0009496576034523809
2023-02-07,0.0016587823294500032
2023-02-08,0.0011663517155044818
2023-02-09,0.00114492240746036
2023-02-10,0.0009939999778607422
2023-02-13,0.0006725063091349867
2023-02-14,0.001566725112874604
2023-02-15,0.0009383702300749377
2023-02-16,0.0009097588216798377
2023-02-17,0.0010780630562315723
2023-02-21,0.0006980673852466999
2023-02-22,0.001056546485926299
2023-02-23,0.0010192697061876827
2023-02-24,0.0009147478876065448
2023-02-27,0.0007956483518465531
2023-02-28,0.0007831195150332269
2023-03-01,0.0009751118724058632
2023-03-02,0.0009606901390446686
2023-03-03,0.0007081819130128173
2023-03-06,0.0006788940073541137
2023-03-07,0.001328097986472027
2023-03-08,0.0008813572152969524
2023-03-09,0.0010472731596697699
2023-03-10,0.0015547259285151438
2023-03-13,0.0022854023203605365
2023-03-14,0.001297133929404896
2023-03-15,0.0013287257225901893
2023-03-16,0.0011927977535236103
2023-03-17,0.0013347634274809349
2023-03-20,0.000934110408871774
2023-03-21,0.0008667971551714122
2023-03-22,0.0017498337435819069
2023-03-23,0.0012084226351482162
2023-03-24,0.0013492236670584246
2023-03-27,0.0007698535816959558
2023-03-28,0.0007344407805382844
2023-03-29,0.0006846313142119826
2023-03-30,0.0006059652313138635
2023-03-31,0.000609438049526921
2023-04-03,0.0006526134339984391
2023-04-04,0.0008732777763833786
2023-04-05,0.0006757695881920453
2023-04-06,0.0006602464116990014
2023-04-10,0.0006446613865036434
2023-04-11,0.0005509289395197628
2023-04-12,0.001012625120471474
2023-04-13,0.0005587160691019218
2023-04-14,0.0009629706551590513
2023-04-17,0.0006537746988149259
2023-04-18,0.0007699626051559755
2023-04-19,0.0004886044000994266
2023-04-20,0.000721047965870453
2023-04-21,0.0007512300458814562
2023-04-24,0.0005342749725420283
2023-04-25,0.0006866970095520272
2023-04-27,0.0005753617667091283
2023-04-28,0.0008795811607524537
2023-05-01,0.0005585035147200213
2023-05-02,0.0008424083483552128
2023-05-03,0.0008644768873461421
2023-05-04,0.0009945890083357986
2023-05-05,0.0006575117577262506
2023-05-08,0.0006114586602234377
2023-05-09,0.0005013248046167737
2023-05-10,0.0009410333968336636
2023-05-11,0.0008103087178200722
2023-05-12,0.0007023152026419001
2023-05-15,0.0005510479706626017
2023-05-16,0.0007220899552416511
2023-05-17,0.0006611402686422576
2023-05-18,0.0007939213382938019
2023-05-19,0.0007416288555804749
2023-05-22,0.0007702005915911919
2023-05-23,0.0007451527891416101
2023-05-24,0.0008691265044433968
2023-05-25,0.000868541406098956
2023-05-26,0.0007778528897216385
2023-05-30,0.0011034960541445211
2023-05-31,0.000749884247224102
2023-06-01,0.0007611554611209634
2023-06-02,0.0009061800645667898
2023-06-05,0.0007946236739070257
2023-06-06,0.0007002345765449538
2023-06-07,0.00087527643307977
2023-06-08,0.0007313140015639967
2023-06-09,0.0007020179862444034
2023-06-12,0.00047501091749309457
2023-06-13,0.0008943180547639632
2023-06-14,0.0011434510343584841
2023-06-15,0.0008446734193520109
2023-06-16,0.0008128217809067326
2023-06-20,0.0007273035255733693
2023-06-21,0.0007805741363276562
2023-06-22,0.0008039016638499155
2023-06-23,0.000581831005479614
2023-06-26,0.0007861525937853506
2023-06-27,0.0005919930532180081
2023-06-28,0.0009371701574110248
2023-06-29,0.0007634013583006342
2023-06-30,0.0005197959514184711
2023-07-03,0.00042398062906678555
2023-07-05,0.0005403710341931499
2023-07-06,0.0006488850784653505
2023-07-07,0.0007270863407938627
2023-07-10,0.0006445997124001656
2023-07-11,0.0008347005004804552
2023-07-12,0.0005633843938554771
2023-07-13,0.000477023153211988
2023-07-14,0.0007173570953347407
2023-07-17,0.0005511995076702047
2023-07-18,0.0005343585199327188
2023-07-19,0.0006292802184979943
2023-07-20,0.0007182417602689834
2023-07-21,0.0008667802075414817
2023-07-24,0.0008023474782827241
2023-07-25,0.0005909589490222607
2023-07-26,0.0010691632810273424
2023-07-27,0.0010458154360380245
2023-07-28,0.0007722456711823713
2023-07-31,0.0006234409291452688
2023-08-01,0.0005985969726783384
2023-08-02,0.0007869438739987546
2023-08-03,0.0007779428706204139
2023-08-04,0.0009229126699628726
2023-08-07,0.0007319600102938869
2023-08-08,0.0007459094240902576
2023-08-09,0.0007957862552982768
2023-08-10,0.0011180538641000612
2023-08-11,0.0007721655867776361
2023-08-14,0.0006233876291945162
2023-08-15,0.0007557059163512368
2023-08-16,0.0008526878301616651
2023-08-17,0.0006647460965233398
2023-08-18,0.0007464328322203794
2023-08-21,0.0007380335527962673
2023-08-22,0.0008723814093217578
2023-08-23,0.0006234118116398373
2023-08-24,0.0008302914741797622
2023-08-25,0.0014472242583673405
2023-08-28,0.0007014590521647786
2023-08-29,0.0006843591752593458
2023-08-30,0.000748807882029657
2023-08-31,0.000658909759167239
2023-09-01,0.0008595173446883154
2023-09-05,0.0005628405809369201
2023-09-06,0.0006960905724966184
2023-09-07,0.0008538079458450682
2023-09-08,0.0006062391898938762
2023-09-11,0.000674882135109572
2023-09-12,0.000623378467500784
2023-09-13,0.0006802079193495925
2023-09-14,0.0005597843830994537
2023-09-15,0.0005797000217465256
2023-09-18,0.0005081288335806644
2023-09-19,0.0005992208326184611
2023-09-20,0.0008074709555073109
2023-09-21,0.0007511707205528721
2023-09-22,0.0008099537396572875
2023-09-25,0.0008763270428313232
2023-09-26,0.0006599775973988543
2023-09-27,0.0009765004412359472
2023-09-28,0.001033642428386061
2023-09-29,0.000973067314290698
2023-10-02,0.0010811834662950868
2023-10-03,0.0009674992620830488
2023-10-04,0.0010153757349290592
2023-10-05,0.0009293051550872076
2023-10-06,0.0010056845915234485
2023-10-09,0.0007644708513268278
2023-10-10,0.0007307761877654941
2023-10-11,0.0007397743670077253
2023-10-12,0.0009486697552236685
2023-10-13,0.0010090398817384253
2023-10-16,0.0007786105338750637
2023-10-17,0.0009631320496318133
2023-10-18,0.0011539511014122853
2023-10-19,0.0016558087637603503
2023-10-20,0.0010821416994135698
2023-10-23,0.0011540119342943148
2023-10-24,0.0008598342074641825
2023-10-25,0.0010127370256389672
2023-10-26,0.0015535644666025469
2023-10-27,0.0010346307528370307
2023-10-30,0.0009488611613394537
2023-10-31,0.0008768069322771971
2023-11-01,0.0010730504965029578
2023-11-02,0.0005748872379807591
2023-11-03,0.0006933139451274833
2023-11-06,0.0006316519024794453
2023-11-07,0.0006522290581272295
2023-11-08,0.000646045495991869
